corpus_id,source_group,model_name,source_model_or_part_number,source_url,download_timestamp_utc,original_filename,stored_step_path,file_size_bytes,file_sha256,step_schema,original_archive_filename,stored_archive_path,archive_size_bytes,archive_sha256,notes
N01,NIST,STC-06,STC-06,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,2026-08-10T08:53:20.785752+00:00,nist_stc_06_asme1_ap242-e3.stp,corpus_v1/originals/nist/N01/nist_stc_06_asme1_ap242-e3.stp,1006401,71777c28da76da0e8a667e4cbe792d5f72c09b5c56440c9744d3d50ca96ecc8d,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF { 1 0 10303 442 4 1 4 },NIST-PMI-STEP-Files.zip,corpus_v1/originals/nist/_archives/NIST-PMI-STEP-Files.zip,13976599,8fa78429e6d8d9b0d7681d223b6aa9ec98c3772185c55b1a0e3679b21c181911,Selected STC AP242 from official NIST PMI archive; archive README warns that files are test artifacts and may contain syntax/conformance errors.
N02,NIST,STC-07,STC-07,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,2026-08-10T08:53:20.861563+00:00,nist_stc_07_asme1_ap242-e3.stp,corpus_v1/originals/nist/N02/nist_stc_07_asme1_ap242-e3.stp,1945387,2dddf9b8894bc241f7ffddf3dc4502baa3d49c374e8784039d14b86473d54832,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF  {1 0 10303 442 4 1 4},NIST-PMI-STEP-Files.zip,corpus_v1/originals/nist/_archives/NIST-PMI-STEP-Files.zip,13976599,8fa78429e6d8d9b0d7681d223b6aa9ec98c3772185c55b1a0e3679b21c181911,Selected STC AP242 from official NIST PMI archive.
N03,NIST,STC-08,STC-08,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,2026-08-10T08:53:20.934974+00:00,nist_stc_08_asme1_ap242-e3.stp,corpus_v1/originals/nist/N03/nist_stc_08_asme1_ap242-e3.stp,2251152,64f24b914910ce8e20c9e4bd59637b4fd155715c7c7b51689466534ed7db1442,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF { 1 0 10303 442 4 1 4 },NIST-PMI-STEP-Files.zip,corpus_v1/originals/nist/_archives/NIST-PMI-STEP-Files.zip,13976599,8fa78429e6d8d9b0d7681d223b6aa9ec98c3772185c55b1a0e3679b21c181911,Selected STC AP242 from official NIST PMI archive.
N04,NIST,STC-09,STC-09,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,2026-08-10T08:53:21.015909+00:00,nist_stc_09_asme1_ap242-e3.stp,corpus_v1/originals/nist/N04/nist_stc_09_asme1_ap242-e3.stp,5287678,737423afcb223b87d92a4ea7646a97d8d55fb21cc24ba2fb72b952336bcf1fad,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF  { 1 0 10303 442 4 1 4 },NIST-PMI-STEP-Files.zip,corpus_v1/originals/nist/_archives/NIST-PMI-STEP-Files.zip,13976599,8fa78429e6d8d9b0d7681d223b6aa9ec98c3772185c55b1a0e3679b21c181911,Selected STC AP242 from official NIST PMI archive.
N05,NIST,STC-10,STC-10,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,2026-08-10T08:53:21.094360+00:00,nist_stc_10_asme1_ap242-e2.stp,corpus_v1/originals/nist/N05/nist_stc_10_asme1_ap242-e2.stp,4875056,fba4f46cab1ce1402362038036884631b4a41afe1c9efc5681d358c39db7ed5f,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF { 1 0 10303 442 3 1 4 },NIST-PMI-STEP-Files.zip,corpus_v1/originals/nist/_archives/NIST-PMI-STEP-Files.zip,13976599,8fa78429e6d8d9b0d7681d223b6aa9ec98c3772185c55b1a0e3679b21c181911,Selected STC AP242 from official NIST PMI archive.
N06,NIST,CTC-01,CTC-01,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,2026-08-10T08:53:21.171463+00:00,nist_ctc_01_asme1_ap242-e1.stp,corpus_v1/originals/nist/N06/nist_ctc_01_asme1_ap242-e1.stp,396445,85a5752da05f53c456ca3a9e038c90358e1d5a3141d1f0d6e5f0970f2356e821,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF { 1 0 10303 442 1 1 4 },NIST-PMI-STEP-Files.zip,corpus_v1/originals/nist/_archives/NIST-PMI-STEP-Files.zip,13976599,8fa78429e6d8d9b0d7681d223b6aa9ec98c3772185c55b1a0e3679b21c181911,Selected CTC AP242 from official NIST PMI archive.
N07,NIST,CTC-02,CTC-02,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,2026-08-10T08:53:21.248066+00:00,nist_ctc_02_asme1_ap242-e2.stp,corpus_v1/originals/nist/N07/nist_ctc_02_asme1_ap242-e2.stp,1981342,99a0a2079ddeb64d05c2432cbe931fa17c89da60d8b0bcb0b11bd0ed94fa2e68,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF { 1 0 10303 442 3 1 4 },NIST-PMI-STEP-Files.zip,corpus_v1/originals/nist/_archives/NIST-PMI-STEP-Files.zip,13976599,8fa78429e6d8d9b0d7681d223b6aa9ec98c3772185c55b1a0e3679b21c181911,Selected CTC AP242 from official NIST PMI archive.
N08,NIST,CTC-03,CTC-03,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,2026-08-10T08:53:21.322821+00:00,nist_ctc_03_asme1_ap242-e2.stp,corpus_v1/originals/nist/N08/nist_ctc_03_asme1_ap242-e2.stp,673846,196b665776e759282f80fc8fb27d7bceb995df77cf78b7ce48347535a4d6cb5f,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF { 1 0 10303 442 3 1 4 },NIST-PMI-STEP-Files.zip,corpus_v1/originals/nist/_archives/NIST-PMI-STEP-Files.zip,13976599,8fa78429e6d8d9b0d7681d223b6aa9ec98c3772185c55b1a0e3679b21c181911,Selected CTC AP242 from official NIST PMI archive.
N09,NIST,CTC-04,CTC-04,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,2026-08-10T08:53:21.396732+00:00,nist_ctc_04_asme1_ap242-e1.stp,corpus_v1/originals/nist/N09/nist_ctc_04_asme1_ap242-e1.stp,1287291,20b43b54ce25d4ed17cff794084c406e831c687f5b62471d3371eef33669e355,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF { 1 0 10303 442 1 1 4 },NIST-PMI-STEP-Files.zip,corpus_v1/originals/nist/_archives/NIST-PMI-STEP-Files.zip,13976599,8fa78429e6d8d9b0d7681d223b6aa9ec98c3772185c55b1a0e3679b21c181911,Selected CTC AP242 from official NIST PMI archive.
N10,NIST,CTC-05,CTC-05,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,2026-08-10T08:53:21.471568+00:00,nist_ctc_05_asme1_ap242-e1.stp,corpus_v1/originals/nist/N10/nist_ctc_05_asme1_ap242-e1.stp,878030,59bbc09a34621c03106e4c1b2a5bc909fdb67463117c16c4965ee7a6fe5c1521,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF {1 0 10303 442 1 1 4 },NIST-PMI-STEP-Files.zip,corpus_v1/originals/nist/_archives/NIST-PMI-STEP-Files.zip,13976599,8fa78429e6d8d9b0d7681d223b6aa9ec98c3772185c55b1a0e3679b21c181911,Selected CTC AP242 from official NIST PMI archive.
N11R,NIST,FTC-11 replacement,FTC-11,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,2026-08-10T08:56:45.114905+00:00,nist_ftc_11_asme1_ap242-e2.stp,corpus_v1/originals/nist/N11R/nist_ftc_11_asme1_ap242-e2.stp,1946454,20a92edf514ae0989d556f9c7b9f065aed741cfbb361b7fe4cb7938a1eb5c232,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF { 1 0 10303 442 1 1 4 },NIST-PMI-STEP-Files.zip,corpus_v1/originals/nist/_archives/NIST-PMI-STEP-Files.zip,13976599,8fa78429e6d8d9b0d7681d223b6aa9ec98c3772185c55b1a0e3679b21c181911,Pre-benchmark replacement for withdrawn HTC record N11. NIST supplies HTC only as native CATIA/Creo/NX; FTC-11 is a direct AP242 file in the official archive.
