sample_index,model_id,official_split,selection_rank_sha256,step_file,step_bytes,step_sha256,file_description,file_schema,manifold_solid_brep,brep_with_voids,closed_shell,advanced_face,has_step_end_marker,validation_status
1,21225_c081eae3_21,test,001a3530fc8d557b10c25b18e1fb177bbf6e1ea7d1c4108d8009c0ce9165eddd,step/21225_c081eae3_21.stp,8242,f60c34d3a041bd1ed2077920288bb958d0cf7aa803de02df4bd060bace8308fa,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,4,True,text_audited_kernel_validation_pending
2,24650_dad8c8ee_9,test,0027aa6044ef7699651dbf84e424acd70d04b775361099bc5fca4701c9e80a3c,step/24650_dad8c8ee_9.stp,6218,697510ca2db6ea6daf4feb7a944ad7e72ad249d7879d0ffbb1c1b473743cbc87,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,3,True,text_audited_kernel_validation_pending
3,78606_53ee0da2_1,test,0028e69fb61c554332e8aa485f9a94d5ce943dec7eb4cd80d36cd3cc0181ba5f,step/78606_53ee0da2_1.stp,8236,1f919b78ecdab13b789777b4323a03eb8ec4d2178d5668a34731d8a0e16f8670,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,4,True,text_audited_kernel_validation_pending
4,38287_88ec74de_86,test,0030ad7a47588cd23642d131fa05baef7e62a0dddee7de89d0f0f6223295bc10,step/38287_88ec74de_86.stp,8417,18061ef876861f9b75f09cf1290f8dfb432592fe22a473f16e70892a693f6777,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,4,True,text_audited_kernel_validation_pending
5,40524_7b7ca640_8,test,0039f0830a3ccc11be981c5b9725950b19d1fd48b744b9e5fdbf2115cb5582f3,step/40524_7b7ca640_8.stp,9235,9bfa5d5e2925ce7a6da7e1104073b899d2fce41317ed1c0072a6ff2f12b6cc19,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,3,True,text_audited_kernel_validation_pending
6,23685_4e489619_4,test,004bde071514d2c332f49b4ffaee147efc4404a7a0dfcf76eb9f285bea1b8d91,step/23685_4e489619_4.stp,129774,a414cd427573d214ea25fe008f556a4b59aa9a93fac2fa7a83322b83405e4194,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,36,True,text_audited_kernel_validation_pending
7,125152_65ed33fd_17,test,004e34bb80126869cf06d8d46220b243fb232b8a035cf1e9064de9e877579a0f,step/125152_65ed33fd_17.stp,59087,413e34f6a4c57028991e2094d876c2edc78fe6367d6e56ec2b3005c85e4083b3,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,22,True,text_audited_kernel_validation_pending
8,23035_6087bb57_5,test,005c91b7f35a31943427cefc3fa8a4e84239d8d833744e738ea78d347a3faf32,step/23035_6087bb57_5.stp,11762,cee738b364a57436bbdf97ceff923fb734fa5d99ab82a00a11ff4a4d2fcd4cdf,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,6,True,text_audited_kernel_validation_pending
9,24890_5f8a67df_14,test,0064fc154d8aee94176ae62297c77b64f1931e0d4a0130b8cb69e185aa633870,step/24890_5f8a67df_14.stp,10163,c87b44318161a140a30e6340df8c6fc929b2ad0771103e00750241175916651b,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,5,True,text_audited_kernel_validation_pending
10,131656_7da36cb9_0,test,00656338583afee04554396174e649dccc6c432d1648ff65649e4117634af2ff,step/131656_7da36cb9_0.stp,30005,6bc70a7933cae0a2ff1b6ecfba3c414b181b4a1aa0742d18a7cea0d6bde5b7c0,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,17,True,text_audited_kernel_validation_pending
11,119787_9a55dfa9_11,test,0066e0ea51ae0ec1d4b996be76719980701828b0f8d6b2206b9aecab6f534b35,step/119787_9a55dfa9_11.stp,10981,45fed1476f09dda54a772fa22c9b7e3fbc320581da2a48fcbb23c7c400d0775d,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,6,True,text_audited_kernel_validation_pending
12,22670_9353c710_3,test,007b6bc0e4314a2addcf81f9b9df58f40fd2f4a6196b7965a4114d012382915a,step/22670_9353c710_3.stp,36066,b796eb9130e42545f45a37d87bbff288b4c9c077bc566bb1ed70b958f5316a13,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,20,True,text_audited_kernel_validation_pending
13,32960_0eaa1de8_9,test,008cf620a5fe8463ff0a57cb6ead8fe2789d54146ae9d28fe14707cf97715617,step/32960_0eaa1de8_9.stp,16311,5c53cc342b4126000e14e4cf111d5a602636f17d8796a3fbe3dfae7ab83166a8,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,8,True,text_audited_kernel_validation_pending
14,34782_b461066c_3,test,00986ac1409db521853434360618ffce46ce9ae60f42151c0fa99ddc338b7b8b,step/34782_b461066c_3.stp,23881,59b4fb55c96e621d9fa5e8f3bac49612ca5f439f7f7c298f72c1ec05bc36fb55,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,6,True,text_audited_kernel_validation_pending
15,137166_90691294_15,test,00a2c19c37e160b787201833df17789a933fd50bc6eed41b7b3142e7010b06d7,step/137166_90691294_15.stp,20053,ce18f0f11d4945da5c83bd55a6c3104836e03a7df18c8191742d4e886f82ff1b,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,10,True,text_audited_kernel_validation_pending
16,21852_6cf9a734_3,test,00a82478fa985d5cdf649e13f7c10b980132259364708479db8f91f508ee5b85,step/21852_6cf9a734_3.stp,42654,4a9d0258e82cb49b3744cef5dc9d89c787412225debdfdfcae18b1d2212cfccc,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,25,True,text_audited_kernel_validation_pending
17,145530_0a838de7_5,test,00b4b2a6accf6b94e49b2f0482a72978f9324ca7ad471fa7b9438aaeb054b131,step/145530_0a838de7_5.stp,858815,d6c53bf03531c0d194d8a77fffbd80a8bc7917e2b8b6327ef07cec5d4e03059d,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,297,True,text_audited_kernel_validation_pending
18,21242_6c2af7c2_5,test,00c8fbc884875d31361b97f27b126fa059038de5ff772a53d3001b9913ac0cb5,step/21242_6c2af7c2_5.stp,16695,163a1b9f764618ac96ec2c661901a7a3ca4ffbe5da494f162be6f7122ef91786,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,5,True,text_audited_kernel_validation_pending
19,32220_1fd19c5e_36,test,00cfd06dc32d429579b4cc1c3250febc650d1f97c22241dc17b663d7ce9ffebd,step/32220_1fd19c5e_36.stp,27369,8b9e095195a56ab343806c00a53b7ab15da3bea4288d9f7bc19210f4edf151c8,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,14,True,text_audited_kernel_validation_pending
20,123094_af46c5e1_20,test,00d65e067d51006e4f036d27d2018aa2b259b3c03f61164fd7684d7a734b8737,step/123094_af46c5e1_20.stp,12752,8874159645ea83ee1720ae977d490d0f0294fbd9225a9582176de332c918f45c,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,6,True,text_audited_kernel_validation_pending
21,138423_553700e1_4,test,00d7cf5dc5384c55b99d579fa3b8ec0e5e08a857772b5cb807719eeacb4b6669,step/138423_553700e1_4.stp,36441,7bbecf0038588b4d73e640497fa39720d196a678f6f32cef4a5e79ecfa9b420b,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,8,True,text_audited_kernel_validation_pending
22,21641_83f43fad_2,test,00e61c1f54e667e606c2d8abbb8fc8f01ac8bea12d697a13fe67287c093b3e3a,step/21641_83f43fad_2.stp,6223,60c82d7a86f108dd72fc1c59394e2ea8446405b4ab4a322e5d7892a70f5c259c,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,3,True,text_audited_kernel_validation_pending
23,38287_88ec74de_73,test,00eaf03de3c56ac80c5d71a1886d3ba29835db7ca5c0802a3a75942b6d857a4f,step/38287_88ec74de_73.stp,17874,5021ada304e0d8869733bb750eace34b3d58ca1bf95c05d7f66ba928c9b93488,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,9,True,text_audited_kernel_validation_pending
24,29845_053c4c5b_4,test,00ed0164d4d02fe43f20e6f9a4ebc9077ab8350ba7bf2cf2efb28f8945607413,step/29845_053c4c5b_4.stp,80501,f26dace0d3e382e0ca71fa92ea5410bad6e52c6e1cee1bc2c2ccb7219e5caf9e,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,22,True,text_audited_kernel_validation_pending
25,53078_b592f2bd_13,test,00f3e5ad96038103459cc32c1ee1e91d4a525f3b88a54f01192102a21b30d866,step/53078_b592f2bd_13.stp,28619,ada89ac0c9d69ea69ef2ab0b306e4100cad87bd19fd72644fcc3d8a52305bee1,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,14,True,text_audited_kernel_validation_pending
26,23418_18c3b38d_5,test,00f60dc3da997acaab3c56c5045bf0e0e9b8c39c7447d6358179feb263ce17f7,step/23418_18c3b38d_5.stp,15696,f76deac3c9fc1dbe510876945d623cd0c24c67187f2e1b7b74f530728734bc60,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,8,True,text_audited_kernel_validation_pending
27,76880_9bb28e72_11,test,00f92408a0604a5a6dfe7a277663164d3687762f4dc01cb2f56f68b6c5664437,step/76880_9bb28e72_11.stp,8542,88734f6db8544920d040cdec696098878f35f2f4c14e33b47b8ec11bea7b6064,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,4,True,text_audited_kernel_validation_pending
28,23676_52069f98_21,test,0103031ebb9159abfa9bead4ed13c8b5c1a3855aa6b4cf64584ad50a17f3e642,step/23676_52069f98_21.stp,16568,6c4ec6b9e4974fb6ddd388af7ec10bce5e059b5a57f9e40e7e16de6733387a58,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,10,True,text_audited_kernel_validation_pending
29,54516_ac9e2ef4_16,test,0104bd4301c0f816d9623e0fd1b8f200730b710a7b4b66ed6fa8a5b46c85626b,step/54516_ac9e2ef4_16.stp,51761,7f4fc7e3a59bffbf6a774f20829d6a583a1849e5e228e3a1cfe7b2165d7972a2,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,26,True,text_audited_kernel_validation_pending
30,138756_a39897f4_0,test,010bc95ae94bac16c1a84d2c16721cd43e82c6c1191da2df7ce50c85d4ca2c32,step/138756_a39897f4_0.stp,57358,a0c48fff33205db4f44e5fecf199fb1295f50513791ecd88396c0d9e864f4e50,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,19,True,text_audited_kernel_validation_pending
31,54073_7d8cdd04_1,test,011c13fdd34684803a127397640a4038182d445840d3e1f0a6c8435dc8bf0fa8,step/54073_7d8cdd04_1.stp,20494,41c4798047eedc08ab16ef2d1a4f2e35a63070d0c2b305f3fa25ef6ae12310a4,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,10,True,text_audited_kernel_validation_pending
32,50927_e458e13b_0,test,012baaa21aa3231eb56887296de1c4e88f72d4669f34873be16b9ce9a5d9302a,step/50927_e458e13b_0.stp,9259,4658ba33440ee397195d9d14a2cc1578df15b6831022ec30c37bb813c04edbfa,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,5,True,text_audited_kernel_validation_pending
33,130757_b2c47f8d_9,test,0142a4cc83da429b1317d382aa37e86044bb6c2b0ab8801be1ddf7485772857a,step/130757_b2c47f8d_9.stp,164492,aa0c711dd67ff08f8399536da2709303b50f4b9969cd7eaf8cd10f8aae78f935,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,79,True,text_audited_kernel_validation_pending
34,35145_a3d7363c_11,test,015ab78d0afe969e173abe98c2f13b382b86a380a78543749ea506a17b6b448b,step/35145_a3d7363c_11.stp,37256,6a3a38e623a1b773710e24891a583e02110b2e1552649b960ed7fec5e7cf655f,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,18,True,text_audited_kernel_validation_pending
35,22711_33843a5d_15,test,016fe0c6dfcaca2984ba7724d7c7d79fd8d94c7f08e607331128df2b856758f1,step/22711_33843a5d_15.stp,20278,782dfe5dc680809cb546671ab27fa5e63e2aaebe16b0d6497f80022435b92aca,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,12,True,text_audited_kernel_validation_pending
36,100112_bc0a563a_4,test,0173445cc869416489df08f287f9ac4cc02923801ae243215ae91b99706eef5d,step/100112_bc0a563a_4.stp,16540,f45d6bba95059c9d50bf56c7351eacaae501cea3ab6a3c5320ec560de169216f,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,8,True,text_audited_kernel_validation_pending
37,31018_a01ba8e5_6,test,0173f530c1820e89a9268b939c4b9183891799d1d591438b3a7a3cf16e5ccddf,step/31018_a01ba8e5_6.stp,19659,f98fa762b8d29dff15c28ef0ea803c1ff949e3b6466dc11a96db6f4956d2b791,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,10,True,text_audited_kernel_validation_pending
38,70313_c860c42b_0,test,017d2f4b36fc74683029e61b66346941286e86afd1d46a93733f2620a4bd443d,step/70313_c860c42b_0.stp,15771,ff629f670e72bcd4c106e09192a656750b174d645df6be00534e2052c540df40,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,9,True,text_audited_kernel_validation_pending
39,48227_390437ae_1,test,01845a50edc049e4f959165fc345208f4eb7130ee47af32927c17dd59011984a,step/48227_390437ae_1.stp,30153,9662aa0f77414ee2b6acd65d74105db288322cae1971594f4ef9dbbe63a6f370,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,18,True,text_audited_kernel_validation_pending
40,148051_c59af578_9,test,01866562621fb20a2e28f02cf6b0b3b3cc70f8f7dd51f178b1d6afbf18c37d2f,step/148051_c59af578_9.stp,65143,6537c4b4fa2cdf188797ae84a1541c8b6939d192650e4cf0e2165d2c53e3e7c0,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,31,True,text_audited_kernel_validation_pending
41,48183_91e0b011_9,test,0189d6cb7bb7f65e1bd00d3cd097b301c767c6c0d1d30e0b6b70f326aa4b2d60,step/48183_91e0b011_9.stp,36639,648514e202cf150273d55c1b2949d444a5eae4984da4291e8456d0831d9381a3,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,18,True,text_audited_kernel_validation_pending
42,44417_dfea0c21_2,test,01ac67c66060a9d36cbc6ef6a1225bc3f9ab3f78edb0a72f882316eefc7119a8,step/44417_dfea0c21_2.stp,21446,6b6df915fdc9921903f67d4ef44bf2181bad49552984d9284f03ed0a729be493,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,11,True,text_audited_kernel_validation_pending
43,24890_5f8a67df_7,test,01b675b474545d3dc82e70c4e69608d143379bb096611e94f69a768a280963bc,step/24890_5f8a67df_7.stp,64805,6c644502ebcc47bcde539471ecb3b324bc3f0a34677a9bde0621040d1ad38bde,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,30,True,text_audited_kernel_validation_pending
44,39101_23fec10f_19,test,01ccc3523d710e75e732a8725790cd4c74072b72e0809e88d9c09d1972788394,step/39101_23fec10f_19.stp,15403,ec92399327ca5664556802e2c1fd55b43fb28eb296dc52d8b563385a3a8a3107,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,7,True,text_audited_kernel_validation_pending
45,37016_455093c1_0,test,01ea638a2eb43f7a27e794e35a25fb70b18ad2414715540c702c723874638668,step/37016_455093c1_0.stp,10602,a0c7ac375af07f0a6b4d2c9c3db6ef2514bf1c2c404d7542a74d9825e774e9fd,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,6,True,text_audited_kernel_validation_pending
46,65842_de75838b_3,test,01ed4a571f29342a49a0e1350db761754023cf0ad9114331c7ab1f7b25824eb8,step/65842_de75838b_3.stp,11828,cd7246d658fda4137b18d5b69dff09afbd0fe30eb789682eef3a3ced7446bd6a,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,6,True,text_audited_kernel_validation_pending
47,33499_48ac4df4_1,test,01f7018bbd4b7fe7437d7c4ab393c84ac8ef2206fbb18effa1ac9d975313ed4d,step/33499_48ac4df4_1.stp,14616,a200ac93da9bfd176e497f7d04ad4cebbef9ab56fe7866ec77d1944583308219,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,8,True,text_audited_kernel_validation_pending
48,43681_027a109d_4,test,020a59b0d8cd0983b19a4829eaf3bee28602cd08f5bbd8507aa98177f92d3570,step/43681_027a109d_4.stp,40138,ae5a26ad4b708cadf0809e6e863b175df62f988c7ff8b4c29c167da03a1f1d52,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,24,True,text_audited_kernel_validation_pending
49,51595_41f3d1a3_10,test,022330453f1a13eb798ee8d5406e9baf8c4f6ef0225508613f2b6c8591607acf,step/51595_41f3d1a3_10.stp,17248,b3349ae68734601562f577864d32bcc1451ba2e5096ca8b545a8906ac5f7f5b8,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,9,True,text_audited_kernel_validation_pending
50,128052_1650519e_1,test,0226722f185a33e165934e26226f3a73fe71831659e9797f2a0fde5af8b1ec31,step/128052_1650519e_1.stp,72423,d0f3eb78b31eb3313a50f8f8845f164b19918fd4924cdf0432ac059bb6d1cca6,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,18,True,text_audited_kernel_validation_pending
51,35145_a3d7363c_7,test,0240f6591d64478db92de9e906aa2ba65bb3cb57c3aa41f06b908bb4126a869a,step/35145_a3d7363c_7.stp,20067,4d3aeb635d624a798b661adbc49fc9dd6db310306c335d43c164710e0a8579d3,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,10,True,text_audited_kernel_validation_pending
52,109232_04340d62_2,test,024e89359ac142ba6689ded7c69ed759629f25a5280cfef9c7045d459bec940e,step/109232_04340d62_2.stp,82459,2c2b5993a7547bd3a1b2814127937006ced9e38eaba62562b568fb07fa62535b,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,40,True,text_audited_kernel_validation_pending
53,53474_f29e4438_14,test,024eeeac3dab8ead7899a5c6a1e9213ebfc6650f0b497308648624cda0119cd4,step/53474_f29e4438_14.stp,86288,ed7acbf2a55e02902d3849c73d24143f949de57f54eac6c05d17d13b03ab555d,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,36,True,text_audited_kernel_validation_pending
54,49317_ba20e582_0,test,0258ef32c62e8414140cdcf52818343a156e8e7133d7fda3e6505c32a39809c1,step/49317_ba20e582_0.stp,31223,f31373b639b2d62a85adfd2620cee7b582bb1ceefc127eca885e105828e610a3,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,18,True,text_audited_kernel_validation_pending
55,109637_8b7fe169_2,test,025d0345b1b622716a15855c93d7be5ed161ca0583d6af9da8007010421b0676,step/109637_8b7fe169_2.stp,8343,3edecc6d1c676f281ca000d4441905c4dc6376667d657486b8ebad67a85b564b,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,4,True,text_audited_kernel_validation_pending
56,45285_dc1f2b6f_3,test,0272e8ccbd3b32e3d3bbd6bf3ca1d9b2835ead9a9b56112c77db81f887395d54,step/45285_dc1f2b6f_3.stp,9146,cb8b18aec496853857089afab2a9920e67d6c797ca5c408769602e89ff18793a,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,5,True,text_audited_kernel_validation_pending
57,98989_ce1a2dab_0,test,02767b1ead4d2f2f55aa6b4016dab7059f33b33ca79fe0f9624bd22e8d604fed,step/98989_ce1a2dab_0.stp,102733,a51a876afa6c3b49c10cfa51f3ce3f777aaf788dc562f3804b18ecd57fa1e13e,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,50,True,text_audited_kernel_validation_pending
58,72090_a3e21840_4,test,027d0ca2f7e26fba623b36c227634a489b59a9f1ddba4b5ba5902e6abca35100,step/72090_a3e21840_4.stp,58540,226ee236061a2aa00b17972f60df599f5f4943ca4e99084f294b7acd345ba189,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,28,True,text_audited_kernel_validation_pending
59,41321_43c99300_6,test,02a0c97c04f6ce271d315dbb08545034ec99b4dc097616e6c6b05df31ddd0933,step/41321_43c99300_6.stp,8866,a97ae515cd6205e39875ca10a411e55226d1907e39e8a29ea80478cd00388741,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,4,True,text_audited_kernel_validation_pending
60,40997_e3c88650_8,test,02aaca4e84174fe462ba0f098c4e104557770e78ed168281c1ed4cecb1449880,step/40997_e3c88650_8.stp,22314,c718b3bdb228c9fcf28ac923ea262a910c28c1ecafeffcd04b8424cbc6b4e1ec,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,12,True,text_audited_kernel_validation_pending
61,31642_61133335_4,test,02adab582019ac93ba44e53a6f29f3e7400d9004671c6c2c786eddc44e998f83,step/31642_61133335_4.stp,6435,3c68bc3e207fca7d6586fd9fdda8fa11477f8879df512531e817e4ce834c3865,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,3,True,text_audited_kernel_validation_pending
62,23267_8ecbbb9e_35,test,02b2e158e23afaa06e087e10abac30024c8dfcf61d21a8fd27b817d277008abb,step/23267_8ecbbb9e_35.stp,11693,db7dab0a1fff739b0fa48a9c8c7c02e71ac172cea171402aac6c8e90841aacac,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,6,True,text_audited_kernel_validation_pending
63,45178_c1a5b721_0,test,02de5b0b7e582b3e85203b144af8c9ba4da6edb0abc892947f1d51bc9ff4d1c7,step/45178_c1a5b721_0.stp,383451,78fac7e89d859279319dd6e7c846a54f0decf5e55d053808752e0153edd02e70,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,178,True,text_audited_kernel_validation_pending
