candidate_index,source_group,candidate_locator,filename,selected,corpus_id,decision_reason,selected_step_sha256
1,3D ContentCentral,C01_UCF_305_AP203.step,C01_UCF_305_AP203.step,True,C01,selected_pre_registered_manual_stratum,833ae43ae70cb426dfa0b31f73a9c6115a167339c1188842ff17d0c693abb8e8
2,3D ContentCentral,C02_Angle_Bracket_0_0_003_20_AP203.step,C02_Angle_Bracket_0_0_003_20_AP203.step,True,C02,selected_pre_registered_manual_stratum,cec3150c76e253c18d359966b2b1c164f4a5def3df507a1e74d1c83541a1c8a0
3,3D ContentCentral,C03_Moderate_Mounting_Bracket_AP214.step,C03_Moderate_Mounting_Bracket_AP214.step,True,C03,selected_pre_registered_manual_stratum,7fac346b2bc22b12adcb0136e8dcc9ad89adaceac8b81757948dbd94a40a73c2
4,3D ContentCentral,C04_S7215_2_5_AP214.step,C04_S7215_2_5_AP214.step,True,C04,selected_pre_registered_manual_stratum,ecc920585562b59885a0fcabbd3a87eaadb9cbcc1ec379fd2e4c35922b47c38a
5,3Dfindit,D01_SKF_FNL_505_A_AP242.stp,D01_SKF_FNL_505_A_AP242.stp,True,D01,selected_pre_registered_manual_stratum,16b9104ab339c2ea8e0564485711ce43526b8445b17a9f6d9b15ce7ada7801ed
6,3Dfindit,D02_24080-010_AP242.stp,D02_24080-010_AP242.stp,True,D02,selected_pre_registered_manual_stratum,f217fcdc3d8d3b78b82e7a62bb2b224c30a0baef71652488129b1a1694c0517a
7,3Dfindit,D03_BENE_INOX_664376-40_OPEN_AP242.stp,D03_BENE_INOX_664376-40_OPEN_AP242.stp,True,D03,selected_pre_registered_manual_stratum,e7881a338b650e50f1f490f59a585cabc3da0182aaba429a0715163f87d31873
8,3Dfindit,D04_BUERKERT_6281_270852_AP242.stp,D04_BUERKERT_6281_270852_AP242.stp,True,D04,selected_pre_registered_manual_stratum,e0b09ddc264a87a1f12875944e884f84dfa5066d34ab65c569c4a80b995a7bb6
9,GrabCAD,G01_L_Bracket_Gusset.step,G01_L_Bracket_Gusset.step,True,G01,selected_pre_registered_manual_stratum,f96e89c85cc84ba2b5d7a87e50b27c6432ed64dde60ee14a70cb1df38743d4f0
10,GrabCAD,G02_Slotted_Adjustment_Bracket.step,G02_Slotted_Adjustment_Bracket.step,True,G02,selected_pre_registered_manual_stratum,5d44c7884afa3b52e65ae572c52823d5826b36ba57f3eadea41c26d64a90894e
11,GrabCAD,G03_Flanged_Elbow_50mm.step,G03_Flanged_Elbow_50mm.step,True,G03,selected_pre_registered_manual_stratum,60a2e3d6bb15c9866b62cc2c97a84faf785163b321e6cde51246b1ce4ddb9f01
12,GrabCAD,G04_Gate_Valve_Body_2in.step,G04_Gate_Valve_Body_2in.step,True,G04,selected_pre_registered_manual_stratum,ab9e29fe5942ddf927267ecfc3ac5ee194f263aee6a3dc4957fd2e20e882c0cb
13,GrabCAD,G05_Jet_Impeller.step,G05_Jet_Impeller.step,True,G05,selected_pre_registered_manual_stratum,a022fd92a470634866f5ee216757731cd7060e2e21318fd86b78566781b9bed9
14,NIST,NIST-PMI-STEP-Files/AP203 geometry only/nist_ctc_01_asme1_rd.stp,nist_ctc_01_asme1_rd.stp,False,,excluded_duplicate_geometry_only_ap203_prefer_ap242,
15,NIST,NIST-PMI-STEP-Files/AP203 geometry only/nist_ctc_02_asme1_rc.stp,nist_ctc_02_asme1_rc.stp,False,,excluded_duplicate_geometry_only_ap203_prefer_ap242,
16,NIST,NIST-PMI-STEP-Files/AP203 geometry only/nist_ctc_03_asme1_rc.stp,nist_ctc_03_asme1_rc.stp,False,,excluded_duplicate_geometry_only_ap203_prefer_ap242,
17,NIST,NIST-PMI-STEP-Files/AP203 geometry only/nist_ctc_04_asme1_rd.stp,nist_ctc_04_asme1_rd.stp,False,,excluded_duplicate_geometry_only_ap203_prefer_ap242,
18,NIST,NIST-PMI-STEP-Files/AP203 geometry only/nist_ctc_05_asme1_rd.stp,nist_ctc_05_asme1_rd.stp,False,,excluded_duplicate_geometry_only_ap203_prefer_ap242,
19,NIST,NIST-PMI-STEP-Files/AP203 geometry only/nist_ftc_06_asme1_rd.stp,nist_ftc_06_asme1_rd.stp,False,,excluded_duplicate_geometry_only_ap203_prefer_ap242,
20,NIST,NIST-PMI-STEP-Files/AP203 geometry only/nist_ftc_07_asme1_rd.stp,nist_ftc_07_asme1_rd.stp,False,,excluded_duplicate_geometry_only_ap203_prefer_ap242,
21,NIST,NIST-PMI-STEP-Files/AP203 geometry only/nist_ftc_08_asme1_rc.stp,nist_ftc_08_asme1_rc.stp,False,,excluded_duplicate_geometry_only_ap203_prefer_ap242,
22,NIST,NIST-PMI-STEP-Files/AP203 geometry only/nist_ftc_09_asme1_rd.stp,nist_ftc_09_asme1_rd.stp,False,,excluded_duplicate_geometry_only_ap203_prefer_ap242,
23,NIST,NIST-PMI-STEP-Files/AP203 geometry only/nist_ftc_10_asme1_rb.stp,nist_ftc_10_asme1_rb.stp,False,,excluded_duplicate_geometry_only_ap203_prefer_ap242,
