corpus_id,source_group,model_name,official_split,runner_status,exit_code,tool_ok,shape_valid,solid_subset_valid,solids,shells,faces,open_shells,all_shells_closed,positive_solids,nonpositive_solids,all_solids_positive,brep_signed_volume,mesh_vertices,mesh_triangles,mesh_boundary_edges,mesh_nonmanifold_edges,mesh_components,mesh_watertight,mesh_positive_signed_volume,dual_contouring_candidate,rejection_reason,elapsed_seconds,expected_sha256,observed_sha256,input_path
C01,3D ContentCentral,Nomo UCF3 flange bearing housing,,completed,0,True,True,True,2,2,51,0,True,2,0,True,200934.3071849523,1324,2664,0,0,2,True,True,True,admitted,0.075461666,833ae43ae70cb426dfa0b31f73a9c6115a167339c1188842ff17d0c693abb8e8,833ae43ae70cb426dfa0b31f73a9c6115a167339c1188842ff17d0c693abb8e8,${GRADIENT_QEF_CAD_ROOT}/3DContentCentral/C01_UCF_305/C01_UCF_305_AP203.step
C02,3D ContentCentral,item Angle Bracket,,completed,0,True,True,True,3,3,45,0,True,3,0,True,47051.68796759643,535,1066,0,0,3,True,True,True,admitted,0.121653791,cec3150c76e253c18d359966b2b1c164f4a5def3df507a1e74d1c83541a1c8a0,cec3150c76e253c18d359966b2b1c164f4a5def3df507a1e74d1c83541a1c8a0,${GRADIENT_QEF_CAD_ROOT}/3DContentCentral/C02_Angle_Bracket_0_0_003_20/C02_Angle_Bracket_0_0_003_20_AP203.step
C03,3D ContentCentral,SOLIDWORKS Part Reviewer Mounting Bracket,,completed,0,True,True,True,1,1,197,0,True,1,0,True,80542.66422932189,1412,2868,0,0,1,True,True,True,admitted,0.206277875,7fac346b2bc22b12adcb0136e8dcc9ad89adaceac8b81757948dbd94a40a73c2,7fac346b2bc22b12adcb0136e8dcc9ad89adaceac8b81757948dbd94a40a73c2,${GRADIENT_QEF_CAD_ROOT}/3DContentCentral/C03_Moderate_Mounting_Bracket/C03_Moderate_Mounting_Bracket_AP214.step
C04,3D ContentCentral,VSI 2.5-inch S7215 2-Way Ball Valve,,completed,0,True,True,True,1,2,1317,0,True,1,0,True,2052587.5263569234,62203,124558,0,0,2,True,True,True,admitted,24.69718275,ecc920585562b59885a0fcabbd3a87eaadb9cbcc1ec379fd2e4c35922b47c38a,ecc920585562b59885a0fcabbd3a87eaadb9cbcc1ec379fd2e4c35922b47c38a,${GRADIENT_QEF_CAD_ROOT}/3DContentCentral/C04_S7215_2_5/C04_S7215_2_5_AP214.step
D01,3Dfindit,SKF FNL flanged housing,,completed,0,True,True,True,5,5,308,0,True,5,0,True,160514.74456515268,7646,15470,0,97,4,True,True,False,mesh_nonmanifold,0.701925042,16b9104ab339c2ea8e0564485711ce43526b8445b17a9f6d9b15ce7ada7801ed,16b9104ab339c2ea8e0564485711ce43526b8445b17a9f6d9b15ce7ada7801ed,${GRADIENT_QEF_CAD_ROOT}/3Dfindit/D01_SKF_FNL_505_A/D01_SKF_FNL_505_A_AP242.stp
D02,3Dfindit,norelem fixed bearing flange unit,,completed,0,True,True,True,1,1,98,0,True,1,0,True,29370.5253744438,3348,6712,0,0,1,True,True,True,admitted,0.104759417,f217fcdc3d8d3b78b82e7a62bb2b224c30a0baef71652488129b1a1694c0517a,f217fcdc3d8d3b78b82e7a62bb2b224c30a0baef71652488129b1a1694c0517a,${GRADIENT_QEF_CAD_ROOT}/3Dfindit/D02_24080-010/D02_24080-010_AP242.stp
D03,3Dfindit,Two-way ball valve square flange,,completed,0,True,True,True,2,2,458,0,True,2,0,True,453664.83692637226,9837,20542,0,1094,1,True,True,False,mesh_nonmanifold,0.900835542,e7881a338b650e50f1f490f59a585cabc3da0182aaba429a0715163f87d31873,e7881a338b650e50f1f490f59a585cabc3da0182aaba429a0715163f87d31873,${GRADIENT_QEF_CAD_ROOT}/3Dfindit/D03_BENE_INOX_664376-40/D03_BENE_INOX_664376-40_OPEN_AP242.stp
D04,3Dfindit,Buerkert 2-2-way servo-assisted solenoid valve,,completed,0,True,True,True,3,3,341,0,True,3,0,True,118918.92930442459,3645,7394,0,92,2,True,True,False,mesh_nonmanifold,0.530228,e0b09ddc264a87a1f12875944e884f84dfa5066d34ab65c569c4a80b995a7bb6,e0b09ddc264a87a1f12875944e884f84dfa5066d34ab65c569c4a80b995a7bb6,${GRADIENT_QEF_CAD_ROOT}/3Dfindit/D04_BUERKERT_6281_270852/D04_BUERKERT_6281_270852_AP242.stp
F001,Fusion360Gallery,21225_c081eae3_21,test,completed,0,True,True,True,1,1,4,0,True,1,0,True,235.61944901923448,204,408,0,0,1,True,True,True,admitted,0.007348166,f60c34d3a041bd1ed2077920288bb958d0cf7aa803de02df4bd060bace8308fa,f60c34d3a041bd1ed2077920288bb958d0cf7aa803de02df4bd060bace8308fa,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/21225_c081eae3_21.stp
F002,Fusion360Gallery,24650_dad8c8ee_9,test,completed,0,True,True,True,1,1,3,0,True,1,0,True,62.83185307179586,72,140,0,0,1,True,True,True,admitted,0.005252708,697510ca2db6ea6daf4feb7a944ad7e72ad249d7879d0ffbb1c1b473743cbc87,697510ca2db6ea6daf4feb7a944ad7e72ad249d7879d0ffbb1c1b473743cbc87,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/24650_dad8c8ee_9.stp
