corpus_id,source_group,model_name,source_model_or_part_number,source_url,geometry_stratum,selection_status,download_status,step_choice,redistribution_note
N01,NIST,STC-06,STC-06,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,public_core,locked,registered_2026-08-10,AP242,NIST unrestricted use; acknowledge NIST
N02,NIST,STC-07,STC-07,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,public_core,locked,registered_2026-08-10,AP242,NIST unrestricted use; acknowledge NIST
N03,NIST,STC-08,STC-08,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,public_core,locked,registered_2026-08-10,AP242,NIST unrestricted use; acknowledge NIST
N04,NIST,STC-09,STC-09,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,public_core,locked,registered_2026-08-10,AP242,NIST unrestricted use; acknowledge NIST
N05,NIST,STC-10,STC-10,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,public_core,locked,registered_2026-08-10,AP242,NIST unrestricted use; acknowledge NIST
N06,NIST,CTC-01,CTC-01,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,public_core,locked,registered_2026-08-10,AP242,NIST unrestricted use; acknowledge NIST
N07,NIST,CTC-02,CTC-02,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,public_core,locked,registered_2026-08-10,AP242,NIST unrestricted use; acknowledge NIST
N08,NIST,CTC-03,CTC-03,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,public_core,locked,registered_2026-08-10,AP242,NIST unrestricted use; acknowledge NIST
N09,NIST,CTC-04,CTC-04,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,public_core,locked,registered_2026-08-10,AP242,NIST unrestricted use; acknowledge NIST
N10,NIST,CTC-05,CTC-05,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,public_core,locked,registered_2026-08-10,AP242,NIST unrestricted use; acknowledge NIST
N11,NIST,Hole Test Case,HTC,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,public_core,withdrawn_no_direct_step,native_cad_only_not_downloaded,CATIA Creo NX native models only,NIST unrestricted use; acknowledge NIST
N11R,NIST,FTC-11 replacement,FTC-11,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,public_core,locked_replacement,registered_2026-08-10,AP242,NIST unrestricted use; acknowledge NIST
T01,TraceParts,AMI BPFL6-17 flange-mount bearing unit,03767329,https://www.traceparts.com/en/product/motion-industries-flangemount-ball-bearing-unit-bpfl617?CatalogPath=TRACEPARTS%3ATP01002001001&Product=90-28092021-036675,industrial_bearing,locked,downloaded_text_audited_2026-08-10,STEP AP242,do not redistribute raw file without permission
T02,TraceParts,Lokring 90-degree elbow,MAS-3000-EL90-P12,https://www.traceparts.com/en/product/lokring-technology-90deg-elbow-carbon-steel-pipe-solutions?CatalogPath=TRACEPARTS%3ATP12002005003003&Product=90-29062023-064841,industrial_internal_passage,locked,downloaded_text_audited_2026-08-10,STEP AP242,do not redistribute raw file without permission
T03,TraceParts,Stafford Flange Adapter Max,5EFL008REM,https://www.traceparts.com/en/product/stafford-manufacturing-corp-flange-adapter-max?CatalogPath=TRACEPARTS%3ATP01005007&Product=90-14072023-047794,industrial_flange,locked,downloaded_text_audited_2026-08-10,STEP AP242,do not redistribute raw file without permission
T04,TraceParts,Automatic Valve L21,L2103AAWR-A,https://www.traceparts.com/en/product/automatic-valve-l21-series-valve?CatalogPath=ROSS_249594946%3AROOT&Product=90-17072024-050933,industrial_valve,locked,downloaded_text_audited_2026-08-10,STEP AP242,do not redistribute raw file without permission
D01,3Dfindit,SKF FNL flanged housing,SKF FNL 505 A,https://www.3dfindit.com/en/cad-bim-library/manufacturer/skf/bearings-units-and-housings/bearing-housings/flanged-housings?path=skf%2Fbearings_units_and_housings%2Fbearing_housings%2Fflanged_housings,industrial_bearing,locked_rule,downloaded_text_audited_2026-08-10,STEP AP242; smallest DA=52; A tie-break,do not redistribute raw file without permission
D02,3Dfindit,norelem fixed bearing flange unit,24080-010,https://www.3dfindit.com/en/cad-bim-library/classification/mounted-bearing-unit/rolling-bearing-plain-bearing-spherical-plain-bearing/machine-element-fixing-mounting/eclass/91/flanged-housing-unit?path=cls%2Feclass9.1%2F23%2F05%2F16%2F02,industrial_flange,locked_rule,downloaded_text_audited_2026-08-10,STEP AP242; smallest listed size=10,do not redistribute raw file without permission
D03,3Dfindit,Two-way ball valve square flange,BENE INOX 664376-40,https://www.3dfindit.com/en/keywords/valvulasdedosvias,industrial_valve,locked_rule,downloaded_text_audited_2026-08-10,STEP AP242; smallest listed DN=40; valve open,do not redistribute raw file without permission
D04,3Dfindit,Buerkert 2-2-way servo-assisted solenoid valve,6281-270852,https://www.3dfindit.com/en/keywords/servovalves,industrial_valve,locked_rule,downloaded_text_audited_2026-08-10,STEP AP242; minimum visible DN=13; lower item-number tie-break,do not redistribute raw file without permission
C01,3D ContentCentral,Nomo UCF3 flange bearing housing,UCF 305,https://www.3dcontentcentral.com/download-model.aspx?catalogid=3063&id=144969,industrial_bearing,locked,downloaded_text_audited_2026-08-10,UI AP203; embedded STEP AP214 / AUTOMOTIVE_DESIGN,do not redistribute raw file without permission
C02,3D ContentCentral,item Angle Bracket,0.0.003.20 (download alias 30077),https://www.3dcontentcentral.com/download-model.aspx?catalogid=5824&id=211991,industrial_bracket,locked,downloaded_text_audited_2026-08-10,UI AP203; embedded STEP AP214 / AUTOMOTIVE_DESIGN,do not redistribute raw file without permission
C03,3D ContentCentral,SOLIDWORKS Part Reviewer Mounting Bracket,Moderate- Mounting Bracket,https://www.3dcontentcentral.com/download-model.aspx?catalogid=11199&id=661337,industrial_sheet_bracket,locked,downloaded_text_audited_2026-08-10,UI AP214; embedded STEP AP214 / AUTOMOTIVE_DESIGN,do not redistribute raw file without permission
C04,3D ContentCentral,VSI 2.5-inch S7215 2-Way Ball Valve,S7215-2.5,https://www.3dcontentcentral.com/download-model.aspx?catalogid=11581&id=925981,industrial_valve_compound,locked,downloaded_text_audited_2026-08-10,UI AP214; embedded STEP AP214 / AUTOMOTIVE_DESIGN,do not redistribute raw file without permission
G01,GrabCAD,L-Bracket with Triangular Gusset,Parça 59.STEP,https://grabcad.com/library/l-bracket-with-triangular-gusset-rigid-corner-connector-1,supplement_sharp,locked,downloaded_text_audited_2026-08-10,embedded STEP AP214 / AUTOMOTIVE_DESIGN,do not redistribute raw file without permission
G02,GrabCAD,Multi-Purpose Slotted Adjustment Bracket,Parça 76.STEP,https://grabcad.com/library/multi-purpose-slotted-adjustment-bracket-precision-positioning-interface-2,supplement_thin_slot,locked,downloaded_text_audited_2026-08-10,embedded STEP AP214 / AUTOMOTIVE_DESIGN,do not redistribute raw file without permission
G03,GrabCAD,50 mm 90-Degree Flanged Pipe Elbow,Elbow.step,https://grabcad.com/library/50mm-90-degree-flanged-pipe-elbow-6-hole-flange-connection-1,supplement_internal_passage,locked,downloaded_text_audited_2026-08-10,embedded STEP AP242 managed model-based schema,do not redistribute raw file without permission
G04,GrabCAD,Gate Valve Body 2 Inch Class 150,Gate valve body...STEP,https://grabcad.com/library/gate-valve-body-2-inch-class-150-asme-api-600-1,supplement_valve,locked,downloaded_text_audited_2026-08-10,embedded STEP AP203 / CONFIG_CONTROL_DESIGN,do not redistribute raw file without permission
G05,GrabCAD,Jet Impeller,MY INPROVED IMPELLER 2.step,https://grabcad.com/library/jet-impeller-in-fusion-360-stl-step-files-1,supplement_thin_curved,locked,downloaded_text_audited_2026-08-10,embedded STEP AP242 managed model-based schema,do not redistribute raw file without permission
F500,Fusion 360 Gallery,Deterministic 500-model stress sample,s2.0.1_extended_step,https://github.com/AutodeskAILab/Fusion360GalleryDataset,automated_stress_test,locked_rule,downloaded_sampled_text_audited_2026-08-10,425 train + 75 test; fixed SHA-256 ranking seed,Autodesk dataset license; non-commercial research; do not redistribute full dataset
